mu,sigma
13.771329229997518,2.765875405411586
14.82183985586127,2.6691593726258898
10.899142855245454,2.807117818292081
15.14733681054216,2.862956875307644
25.159303544260275,2.7660004115228873
18.742000112074024,2.6787282216055814
15.16261545684782,2.721333130864652
23.131886731216756,2.5795511767413783
20.71810401455566,2.426930136769545
17.75941289903436,2.315728555158076
21.714507098300054,2.396394079485563
15.714945372334078,2.397813904800599
20.224792643241244,2.2688002620806094
21.549697178810945,2.2444053124807346
19.833846074655547,2.1510500471981877
13.780951290611284,2.2949925113167073
13.963063530211327,2.1899616768760612
11.771624252997768,2.045651976859825
5.1852442928719435,2.052986421771993
5.385357533950707,2.1022434031143598
10.540301906779181,1.9835115057826624
14.969255705978071,1.9161953558871425
16.85019717686846,1.9405791657543034
20.214009219889178,1.8166200144543028
17.06145671907608,1.7832825209157075
6.8815136130594095,1.6370625862780748
8.356697350562577,1.7803939173968546
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
1.908350519723193,1.6538080479658213
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.9177279256907884,1.5715615706074093
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.2617283870499839,1.4732154077679083
0.39787919727908194,1.3891129268529354
0.39787919727908194,1.3891129268529354
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
1.2644653373067796,1.3444576089572444
